[Test 10] Epoch 93 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.9555 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6319
[Test 10] Epoch 94 | LOSS | Score: -100 | Reward: -12.90 | Loss: 0.9481 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6288
[Test 10] Epoch 95 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0413 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6257
[Test 10] Epoch 96 | LOSS | Score: -100 | Reward: -11.90 | Loss: 1.0450 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6226
[Test 10] Epoch 97 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.9611 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6195
[Test 10] Epoch 98 | WIN | Score: 50 | Reward: 10.10 | Loss: 0.9885 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.6165
[Test 10] Epoch 99 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0043 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6135
[Test 10] Epoch 100 | LOSS | Score: -100 | Reward: -7.60 | Loss: 0.9529 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6105
[Test 10] Epoch 101 | WIN | Score: 0 | Reward: -2.70 | Loss: 0.9200 | Pigs killed: 2/2 | Tries left: 0 | Shots: 10 | Eps: 0.6075
[Test 10] Epoch 102 | WIN | Score: 40 | Reward: 6.40 | Loss: 0.9077 | Pigs killed: 2/2 | Tries left: 4 | Shots: 6 | Eps: 0.6045
[Test 10] Epoch 103 | WIN | Score: 90 | Reward: 11.20 | Loss: 1.1270 | Pigs killed: 2/2 | Tries left: 9 | Shots: 1 | Eps: 0.6015
[Test 10] Epoch 104 | LOSS | Score: -100 | Reward: -9.90 | Loss: 1.0231 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5986
[Test 10] Epoch 105 | LOSS | Score: -100 | Reward: -7.60 | Loss: 0.9875 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5956
[Test 10] Epoch 106 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.9152 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5927
[Test 10] Epoch 107 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9398 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5898
[Test 10] Epoch 108 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9894 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5869
[Test 10] Epoch 109 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9498 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5840
[Test 10] Epoch 110 | WIN | Score: 20 | Reward: 4.80 | Loss: 1.0151 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.5812
[Test 10] Epoch 111 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9964 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5783
[Test 10] Epoch 112 | LOSS | Score: -100 | Reward: -7.60 | Loss: 0.9757 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5755
[Test 10] Epoch 113 | LOSS | Score: -100 | Reward: -7.60 | Loss: 1.0261 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5727
[Test 10] Epoch 114 | WIN | Score: 40 | Reward: 7.40 | Loss: 0.9244 | Pigs killed: 2/2 | Tries left: 4 | Shots: 6 | Eps: 0.5699
[Test 10] Epoch 115 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9887 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5671
[Test 10] Epoch 116 | WIN | Score: 20 | Reward: 6.50 | Loss: 0.9948 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.5643
[Test 10] Epoch 117 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.9487 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5615
[Test 10] Epoch 118 | WIN | Score: 10 | Reward: 5.10 | Loss: 0.9714 | Pigs killed: 2/2 | Tries left: 1 | Shots: 9 | Eps: 0.5588
[Test 10] Epoch 119 | WIN | Score: 10 | Reward: 5.10 | Loss: 0.9086 | Pigs killed: 2/2 | Tries left: 1 | Shots: 9 | Eps: 0.5560
[Test 10] Epoch 120 | WIN | Score: 20 | Reward: 6.50 | Loss: 1.0875 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.5533
[Test 10] Epoch 121 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0116 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5506
[Test 10] Epoch 122 | LOSS | Score: -125 | Reward: -11.60 | Loss: 0.9599 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5479
[Test 10] Epoch 123 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0149 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5452
[Test 10] Epoch 124 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.9796 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5426
[Test 10] Epoch 125 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0092 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5399
[Test 10] Epoch 126 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9865 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5373
[Test 10] Epoch 127 | WIN | Score: 60 | Reward: 8.60 | Loss: 1.0061 | Pigs killed: 2/2 | Tries left: 6 | Shots: 4 | Eps: 0.5346
[Test 10] Epoch 128 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0035 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5320
[Test 10] Epoch 129 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0601 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5294
[Test 10] Epoch 130 | LOSS | Score: -125 | Reward: -11.90 | Loss: 1.0575 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5268
[Test 10] Epoch 131 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9241 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5242
[Test 10] Epoch 132 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0380 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5217
[Test 10] Epoch 133 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9571 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5191
