[Test 5] Epoch 43 | LOSS | Score: -100 | Reward: -7.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6540
[Test 5] Epoch 44 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6476
[Test 5] Epoch 45 | LOSS | Score: -100 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6413
[Test 5] Epoch 46 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6350
[Test 5] Epoch 47 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6288
[Test 5] Epoch 48 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6226
[Test 5] Epoch 49 | LOSS | Score: -125 | Reward: -14.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6165
[Test 5] Epoch 50 | WIN | Score: 20 | Reward: 6.20 | Loss: 0.9560 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.6105
epoch: 50 wins: 10 avg loss: 0.95599065721035
[Test 5] Epoch 51 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0580 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6045
[Test 5] Epoch 52 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.9846 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5986
[Test 5] Epoch 53 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.9042 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5927
[Test 5] Epoch 54 | WIN | Score: 90 | Reward: 10.90 | Loss: 1.1173 | Pigs killed: 2/2 | Tries left: 9 | Shots: 1 | Eps: 0.5869
[Test 5] Epoch 55 | LOSS | Score: -125 | Reward: -11.90 | Loss: 1.0047 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5812
[Test 5] Epoch 56 | WIN | Score: 70 | Reward: 10.70 | Loss: 0.8852 | Pigs killed: 2/2 | Tries left: 7 | Shots: 3 | Eps: 0.5755
[Test 5] Epoch 57 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0640 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5699
[Test 5] Epoch 58 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.8983 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5643
[Test 5] Epoch 59 | WIN | Score: 0 | Reward: -2.90 | Loss: 0.9481 | Pigs killed: 2/2 | Tries left: 0 | Shots: 10 | Eps: 0.5588
[Test 5] Epoch 60 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.1040 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5533
[Test 5] Epoch 61 | LOSS | Score: -100 | Reward: -7.90 | Loss: 1.0415 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5479
[Test 5] Epoch 62 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0656 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5426
[Test 5] Epoch 63 | LOSS | Score: -100 | Reward: -7.60 | Loss: 0.9311 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5373
[Test 5] Epoch 64 | LOSS | Score: -125 | Reward: -11.90 | Loss: 0.9093 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5320
[Test 5] Epoch 65 | LOSS | Score: -100 | Reward: -6.60 | Loss: 0.9465 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5268
[Test 5] Epoch 66 | WIN | Score: 20 | Reward: 5.20 | Loss: 0.9448 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.5217
[Test 5] Epoch 67 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0092 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.5166
[Test 5] Epoch 68 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9578 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5116
[Test 5] Epoch 69 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9731 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5066
[Test 5] Epoch 70 | LOSS | Score: -125 | Reward: -11.90 | Loss: 1.0303 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.5016
[Test 5] Epoch 71 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9720 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4967
[Test 5] Epoch 72 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9607 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4919
[Test 5] Epoch 73 | WIN | Score: 20 | Reward: 5.20 | Loss: 1.0202 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.4871
[Test 5] Epoch 74 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0602 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4823
[Test 5] Epoch 75 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0112 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4776
[Test 5] Epoch 76 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.9402 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.4730
[Test 5] Epoch 77 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0192 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.4684
